App ID,Version Code
com.feng.ktcurtainscontroller,16
com.federal,11
com.medm.iproven.diary,3
com.romt.remotecontrolfordishtvsetupbox,1
com.samsung.heartwiseVcr,2750009
com.vscada.windmill,10108
com.Nexxt.router.app,9
hr.aarusoftwords.remotecontrolforalltvuniversaltvremote,1
com.propeti.sp,202030
com.mobile.explorer,100
cz.rozkovec.android,10
au.com.bartco.bartcolive,16
com.makewonder.cue,10388
com.alticeusa.amplify,24
com.veevapps.stepcounter,3
com.auralisoft.colorimeter,65
fatscales.wifi.fsrank.com.wifi,41
com.nux.mightylite,3010420
com.yamaha.av.dtacontroller,260
com.coollang.tennis,35
com.forsmart.smart,5
com.asus.icam,79
com.mobilogix.MotoTracker.ID,54
com.bazookagg.bluetoothbox,20200516
cn.aavi.leaf,20
com.blipcare.blip,12
com.mirgel.android.confluentiabus,47
com.keuwl.arduinobluetooth,9
com.pocketradar.android,52
appinventor.ai_dllamas.Imagina3Dbot,2
com.gamesgear.motobike.circuit.race,4
com.jwtian.smartbt,74
at.mangobits.remote,24
com.amd.wirelessgvr,13
org.appzeeinc.droneremotecontrol_crazyflie,19
com.castreal.remote,4005
com.telldus.live.mobile,3177539
com.dilts_japan.enigma_lc,20300
de.siku.sikucontrol32,95
com.audivo.emas,135
com.uvclean,2
one.DEIMIC.tablet,18
com.rzxc.bluetoothble,45
ru.goal.vms,75
com.noke.loto,98
com.ruud.contractor,920
com.swift.swiftcommand,202
com.cumulocity.cloudsensor,20211402
hr.fer.tel.cupusmobileapp,6
my.com.plus_solar.sourcekai,10103
com.dell.omm,36
com.tatco.bluetoothfree,5
it.casatelli.app.smartstoves,4000212
com.inatronic.bmw,59
com.domeguardian,57
com.koogeek.homelife,7
com.samsung.familyhub,70
com.dspeakerbtremote,11
com.aidewin.lamax.view,3
elonetech.tatasky.remotecontrol,1
com.blueridge.smarthome,70214
cn.net.aicare.clamptable.custom,1
com.telek.smarthome.android.usa,24
batterie.operating.temperature,8
com.spaniroboto.spaniroboto,1
org.humansoftware.sml482remote,4
org.qtproject.PaqfileViewerApp,40
com.wx.slvdualcolor,17
com.blaupunkt.climax.connect2home_r,25
com.vison.macrochip.sh.rc.gps,13
com.panagola.app.blueflite,1
com.ecler.replayer,10000
com.waylens.hachi,150
com.oaxis.timepiece,8
io.skylynk.starter,10003
ir.remote.control.samsung.smart.tv.wifi,47
com.youtility.smart,1
com.appsforamps.thr,74
com.iridium.lite_v100,178
com.linaco.bowgroup,1
com.dpower.schneider.xightorpro,4
com.sony.songpal.ledbulbspeaker,102
com.nsk.batterycam,2020052001
com.oppo.swpcontrol,24
wheeride.com.ntpc02.Whee,33
com.cchip.wifierduo,41
com.astrum.inspinia,314
hk.bell.doorbell,182
com.acsoftware.nice,118
com.homeseer.ztool,14
com.sjajnoaplikerazvoj.universaltvremotecontrol,2
com.sjty.massage,2
com.iot.jianshu,1
com.grill.GrillNow4,19
com.banghao.bmu,133
com.movinapp.flashlight.free,1
com.thanksapp.iot,4
com.microsoft.abiram.heartratemonitor,4
com.voxtrail.voxtrail,26
MACROSCOP.Mobile,400214
com.epsilonltd.homi_smart,99
com.aemc.pel,8
bp.drtrust.com,21
appinventor.ai_ProteusDesignsInc.ProteusPropRemote_v01,1
cn.com.adsmart.autowheelchair,14
com.tecHome.techomeble,10
com.st.STDrone,2
bass.volume.booster.free,68
com.muller.intuitiv,1107300
com.bugull.socket.myts,19
com.dlfour.fandusettopremotecontrol,1
com.nn.my2ncommunicator,342
com.mattel.hwtechmods,92
com.tsang.alan.lightmeter,6
com.weedle.xbox_one_remotes,9205
com.tvremoteapp.xfinitytvremote,8
com.zaxarias.bluetoothcar,3
com.phonehalo.itemtracker,41000000
com.wifiaudio.EDGE,2019082610
com.smart.ambrane,2
com.app.smartowon,5374
com.vendBlue.ddcmp_blue,2
com.amvtrack.amvtrack,3
com.comsoliot.cactus,15
com.roc_connect.rocapp.master,191023503
com.homesafeview,326
com.wigo.u_wigoconnect,46
com.SigmaCasa.SmartHome,202105211
us.endoscopecamera.endoscopeappforandroid.snaponborescope.inspectioncamera,17
com.nixbees.NestBees,10
com.srett.teleoxsync3,47
com.cotr.cowgirl,51
com.sencrop.app,476
com.neoremote,1
com.tutk.abocom.trendnet,2014090901
com.honeywell.raesystems.arearae,13
com.smartbirdgps.birdie4g,304
com.sylvania.zevo.osram,20
com.build2suit,20105
com.electrolux.ecp.coreapp.frigidaire.na,116
appinventor.ai_Doodooronron.Well_Red_controller_V29,33
com.voltas,9
com.lewei.multiple.cx32,5
com.Leeo,34
com.newlablight.iotlight,1001180
com.comfortclick.bosclient,59
com.primenap,136
com.sl.fdq.activity,70
com.cypress.app.wicedsense,110
com.ginlong.pro,30
tw.com.sunitec.heimdall,33
com.hub6.android.pro6,44
com.iothager.android,6
com.a1.smarthome,111
com.tempifi.app,19
com.rtecintel.wateratmrechargebluetooth,6
com.additel.AdditelLink,21
com.yimi.smartgrill,4
cc.wulian.dar,26
in.remotelabs.www.remotecontrolforskymexico,9
com.kddi.csr.StarterAppForHearingImpairedAthletes,2
com.saitconsulting.roastmostandroid,14
com.otoscope.usbcamera,22
com.faspro.app.medicam,126
appinventor.ai_vikram_nandu143.snbremoteswitch,1
uk.co.keyneticsltd.sentrikeyaccess,25
com.sinope.valve.android,18
neuron.makeblock.com,104022
com.nadelectronics.nad_remote,28
com.provision1.pnp,342
com.trinetra.trinetra,145
co.thehostcloud.queenstreetapp,10002
com.linough.android.ninjalock,160
com.gsmarte.home,2
com.floatangels.onewheel2garmin,1
com.wifiaudio.Tibo,2020112012
com.alarm.alarmmobile.android.moni,430
com.chkin.hearing,20000026
com.tech.iisoft.speedometerlight,4
io.autonest.app,20204
com.wigwag.wigwag_mobile,103008
epson.print,70604
com.ixellence.ixgyro.android.demo,126
com.ceibacity.rgb,16
com.ztr.scout.generic,57353
com.trainerize.anytimefitnessbandon,702050
com.tronico.UniversityHeights,13
com.iot.androidnodemcufirebase,2
com.bioworld.ONE61STUDIO.SMARTWATCH,4178
com.softlink.electriciantoolsLite,92
com.toyota.toyotaalexa,3257510
io.iotool.iotoolarduinohex,5
com.linak.linakbed.ble.memory,127
com.lanbon.swit.livingchoice,11
com.smart.selector,4
com.ascendeoiberia.muvit.fcm,13
com.netopsun.protocol_rover_gx,12
com.sarm4d.rccar,1
